Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF 0402","C_0402_1005Metric",-81.500000,27.000000,180.000000,top
"C2","100nF 0402","C_0402_1005Metric",-39.200000,11.750000,270.000000,top
"C3","1uF 0805","C_0805_2012Metric",-81.300000,11.250000,180.000000,top
"C4","10uF 1206","C_1206_3216Metric",-100.981000,9.000000,180.000000,top
"C5","100nF 0402","C_0402_1005Metric",-58.730000,14.250000,180.000000,top
"C6","100nF 0402","C_0402_1005Metric",-107.025000,10.760596,270.000000,top
"C7","1uF 0805","C_0805_2012Metric",-52.000000,22.500000,90.000000,top
"C8","1uF 0805","C_0805_2012Metric",-46.000000,10.000000,0.000000,top
"C17","10uF 1206","C_1206_3216Metric",-78.850000,30.000000,90.000000,top
"C18","100nF 0402","C_0402_1005Metric",-87.370000,23.000000,0.000000,top
"C19","10nF 0402","C_0402_1005Metric",-88.330000,21.500000,180.000000,top
"C20","100nF 0402","C_0402_1005Metric",-103.000000,12.450000,180.000000,top
"C21","10uF 1206","C_1206_3216Metric",-103.000000,15.900000,90.000000,top
"C22","10nF 0402","C_0402_1005Metric",-14.250000,26.470000,0.000000,top
"C23","100nF 0402","C_0402_1005Metric",-77.350000,11.250000,270.000000,top
"C24","100nF 0402","C_0402_1005Metric",-75.350000,11.250000,270.000000,top
"C25","100nF 0402","C_0402_1005Metric",-73.850000,11.250000,270.000000,top
"C26","100nF 0402","C_0402_1005Metric",-32.250000,21.120000,270.000000,top
"C27","100nF 0402","C_0402_1005Metric",-42.400000,28.250000,90.000000,top
"C28","1uF 0805","C_0805_2012Metric",-69.000000,28.500000,90.000000,top
"C29","6.8nF 10% 0603","C_0603_1608Metric",-24.200000,31.460000,180.000000,top
"C30","6.8nF 10% 0603","C_0603_1608Metric",-24.200000,29.460000,180.000000,top
"C31","10nF 0402","C_0402_1005Metric",-12.980000,30.500000,180.000000,top
"C32","100nF 0402","C_0402_1005Metric",-84.000000,22.250000,180.000000,top
"C33","100nF 0402","C_0402_1005Metric",-48.250000,20.000000,180.000000,top
"C34","100nF 0402","C_0402_1005Metric",-67.250000,23.250000,0.000000,top
"FB1","Ferrite_Bead","L_0805_2012Metric",-12.250000,24.000000,90.000000,top
"IC1","SST39SF010A-70-4C-WHE","SOP50P1400X120-32N",-58.000000,23.000000,90.000000,top
"J1","650906-5","6509065",0.000000,0.000000,0.000000,top
"J3","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",-111.275000,10.760596,270.000000,top
"J5","RJ45_Amphenol_RJMG1BD3B8K1ANR","RJ45_Amphenol_RJMG1BD3B8K1ANR",3.575893,19.564107,180.000000,top
"J7","AVR-JTAG-10","PinHeader_2x05_P2.54mm_Vertical",-26.250000,14.000000,180.000000,top
"R1","10k","R_0402_1005Metric",-14.750000,16.000000,0.000000,top
"R2","100k","R_0402_1005Metric",-50.010000,28.000000,180.000000,top
"R3","12.4k 1%","R_0402_1005Metric",-82.250000,14.000000,270.000000,top
"R4","10k","R_0402_1005Metric",-1.750000,11.770000,270.000000,top
"R5","10k","R_0402_1005Metric",7.750000,11.770000,270.000000,top
"R6","33","R_0402_1005Metric",-84.000000,23.500000,180.000000,top
"R7","49.9","R_0402_1005Metric",-67.500000,14.000000,270.000000,top
"R8","49.9","R_0402_1005Metric",-67.500000,16.000000,90.000000,top
"R9","49.9","R_0402_1005Metric",-69.250000,13.500000,90.000000,top
"R10","49.9","R_0402_1005Metric",-69.250000,11.500000,270.000000,top
"R11","10k","R_0402_1005Metric",-14.750000,14.750000,0.000000,top
"R12","10k","R_0402_1005Metric",-14.750000,17.250000,0.000000,top
"R13","10k","R_0402_1005Metric",-14.750000,18.500000,0.000000,top
"R14","10 1/12W 1%","R_0805_2012Metric",-15.000000,28.500000,0.000000,top
"R15","510 0402","R_0402_1005Metric",-16.500000,32.000000,180.000000,top
"R16","510 0402","R_0402_1005Metric",-19.000000,31.250000,180.000000,top
"S1","SSAJ110100","SW_SSAJ110100",-20.000000,13.000000,0.000000,top
"S2","SSAJ110100","SW_SSAJ110100",-20.000000,19.500000,0.000000,top
"S3","SSAJ110100","SW_SSAJ110100",3.000000,11.000000,0.000000,top
"U2","ATF1502ASL-25AU44","LQFP-44_10x10mm_P0.8mm",-40.000000,20.000000,270.000000,top
"U3","ENC624J600-I_PT","TQFP-64_10x10mm_P0.5mm",-75.600000,20.000000,0.000000,top
"U4","LD1117S33TR_SOT223","SOT-223-3_TabPin2",-96.356000,14.750000,0.000000,top
"X2","ASE-xxxMHz","Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm",-86.800000,18.685000,0.000000,top
