Comment,Designator,Footprint
0402WGF1002TCE,"R1,R4,R5,R11,R12,R13",Resistor_SMD:R_0402_1005Metric
0402WGF1003TCE,R2,Resistor_SMD:R_0402_1005Metric
0402WGF330JTCE,R6,Resistor_SMD:R_0402_1005Metric
0402WGF499JTCE,"R7,R8,R9,R10",Resistor_SMD:R_0402_1005Metric
0402WGF5100TCE,"R15,R16",Resistor_SMD:R_0402_1005Metric
0603B682K500NT,"C29,C30",Capacitor_SMD:C_0603_1608Metric
0805W8F100JT5E,R14,Resistor_SMD:R_0805_2012Metric
10118194-0001LF,J3,Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal
650906-5,J1,For_SeeedStudio:6509065
AMS1117-3.3,U4,Package_TO_SOT_SMD:SOT-223-3_TabPin2
ATF1502ASL-25AU44,U2,Package_QFP:LQFP-44_10x10mm_P0.8mm
CL05B103KB5NNNC,"C19,C22,C31",Capacitor_SMD:C_0402_1005Metric
CL05B104KO5NNNC,"C1,C2,C5,C6,C18,C20,C23,C24,C25,C26,C27,C32,C33,C34",Capacitor_SMD:C_0402_1005Metric
CL21B105KBFNNNE,"C3,C7,C8,C28",Capacitor_SMD:C_0805_2012Metric
CL31A106KBHNNNE,"C4,C17,C21",Capacitor_SMD:C_1206_3216Metric
ENC624J600T-I/PT,U3,Package_QFP:TQFP-64_10x10mm_P0.5mm
GZ2012D601TF,FB1,Inductor_SMD:L_0805_2012Metric
PZ254V-12-10P,J7,Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical
RC0402FR-0712K4L,R3,Resistor_SMD:R_0402_1005Metric
RJMG1BD3B8K1ANR,J5,Connector_RJ:RJ45_Amphenol_RJMG1BD3B8K1ANR
SSAJ110100,"S1,S2,S3",SW_SSAJ110100
SST39SF010A-70-4C-WHE,IC1,SOP50P1400X120-32N
SX3M25.000M20F30TNN,X2,Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm
