Part/Designator,Manufacture Part Number/Seeed SKU,Quantity,URL,LCSC ref
"R1,R4,R5,R11,R12,R13",0402WGF1002TCE,6,,
R2,0402WGF1003TCE,1,,
R6,0402WGF270JTCE,1,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0603WAF270JT5E_C25190.html,
"R7,R8,R9,R10",0402WGF499JTCE,4,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0603WAF499JT5E_C23185.html,
"R15,R16",0402WGF5100TCE,2,,
"C29,C30",0603B682K500NT,2,,
R14,0805W8F100JT5E,1,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0603WAF499JT5E_C23185.html,
J3,10118194-0001LF,1,,
J1,650906-5,1,https://www.lcsc.com/product-detail/Mezzanine-Connectors-Board-to-Board_TE-Connectivity-650906-5_C3652939.html,
U4,AMS1117-3.3,1,,
U2,ATF1502ASL-25AU44,1,,
"C19,C22,C31",CL05B103KB5NNNC,3,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0603KRX7R9BB104_C14663.html,
"C1,C2,C5,C6,C18,C20,C23,C24,C25,C26,C27,C32,C33,C34",CL05B104KO5NNNC,14,,
"C3,C7,C8,C28",CL21B105KBFNNNE,4,,
"C4,C17,C21",CL31A106KBHNNNE,3,,
U3,ENC624J600T-I/PT,1,,
FB1,GZ2012D601TF,1,,
J7,PZ254V-12-10P,1,,
R3,RC0402FR-0712K4L,1,,
J5,RJMG1BD3B8K1ANR,1,,
"S1,S2,S3",SSAJ110100,3,,
IC1,SST39SF010A-70-4C-WHE,1,,
X2,SX3M25.000M20F30TNN,1,https://www.lcsc.com/product-detail/Oscillators_Shenzhen-SCTF-Elec-SX3M54-000M20F30TNN_C2901593.html,
